"data e hora","caso de teste","mensagem"
"[2021/09/08 23:26:21.882]","Acessar o site","Acessou o site"
"[2021/09/08 23:26:22.297]","Concordar com Cookies","Concordou com os Cookies"
"[2021/09/08 23:26:35.182]","Pesquisar o Produto","Digitou no campo de busca o produto Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:26:35.837]","Confirmar Produto na lista","Confirmou Produto na lista Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:26:35.899]","Confirmar ID Produto ","Confirmou Id na lista632562"
"[2021/09/08 23:26:43.782]","Seleciona produto na lista","Selecionou produto na lista Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:26:44.807]","Verifica pagina do produto","Verificou pagina do produtoCabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:26:44.909]","Verifica preço","Confirmou se aparece o preco do Produto"
"[2021/09/08 23:26:45.211]","Clicar no botao Comprar","Clicou no botao comprar"
"[2021/09/08 23:26:50.108]","Verifica produto no carrinho","Verificou produto no carrinho"
"[2021/09/08 23:27:02.323]","Acessar o site","Acessou o site"
"[2021/09/08 23:27:02.681]","Concordar com Cookies","Concordou com os Cookies"
"[2021/09/08 23:27:11.666]","Pesquisar o Produto","Digitou no campo de busca o produto Escrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 23:27:13.288]","Confirmar Produto na lista","Confirmou Produto na lista Escrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 23:27:13.345]","Confirmar ID Produto ","Confirmou Id na lista526413"
"[2021/09/08 23:27:19.109]","Seleciona produto na lista","Selecionou produto na lista Escrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 23:27:22.403]","Verifica pagina do produto","Verificou pagina do produtoEscrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 23:27:22.694]","Verifica preço","Confirmou se aparece o preco do Produto"
"[2021/09/08 23:27:22.893]","Clicar no botao Comprar","Clicou no botao comprar"
"[2021/09/08 23:27:28.920]","Verifica produto no carrinho","Verificou produto no carrinho"
