"data e hora","caso de teste","mensagem"
"[2021/09/08 23:19:56.587]","Acessar o site","Acessou o site"
"[2021/09/08 23:19:57.503]","Concordar com Cookies","Concordou com os Cookies"
"[2021/09/08 23:20:12.011]","Pesquisar o Produto","Digitou no campo de busca o produto Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:20:12.661]","Confirmar Produto na lista","Confirmou Produto na lista Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:20:12.741]","Confirmar ID Produto ","Confirmou Id na lista632562"
"[2021/09/08 23:20:17.902]","Seleciona produto na lista","Selecionou produto na lista Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:20:21.242]","Verifica pagina do produto","Verificou pagina do produtoCabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:20:21.472]","Verifica pre̤o","Confirmou se aparece o preco do Produto"
"[2021/09/08 23:20:21.768]","Clicar no botao Comprar","Clicou no botao comprar"
"[2021/09/08 23:20:27.377]","Verifica produto no carrinho","Verificou produto no carrinho"
"[2021/09/08 23:20:39.699]","Acessar o site","Acessou o site"
"[2021/09/08 23:20:39.963]","Concordar com Cookies","Concordou com os Cookies"
"[2021/09/08 23:20:49.939]","Pesquisar o Produto","Digitou no campo de busca o produto Escrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 23:20:50.755]","Confirmar Produto na lista","Confirmou Produto na lista Escrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 23:20:50.863]","Confirmar ID Produto ","Confirmou Id na lista526413"
"[2021/09/08 23:20:58.234]","Seleciona produto na lista","Selecionou produto na lista Escrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 23:21:00.192]","Verifica pagina do produto","Verificou pagina do produtoEscrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 23:21:00.586]","Verifica pre̤o","Confirmou se aparece o preco do Produto"
"[2021/09/08 23:21:00.865]","Clicar no botao Comprar","Clicou no botao comprar"
"[2021/09/08 23:21:06.423]","Verifica produto no carrinho","Verificou produto no carrinho"
