"data e hora","caso de teste","mensagem"
"[2021/09/08 23:07:57.143]","Acessar o site","Acessou o site"
"[2021/09/08 23:07:57.989]","Concordar com Cookies","Concordou com os Cookies"
"[2021/09/08 23:08:10.614]","Pesquisar o Produto","Digitou no campo de busca o produto Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:08:11.171]","Confirmar Produto na lista","Confirmou Produto na lista Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:08:11.254]","Confirmar ID Produto ","Confirmou Id na lista632562"
"[2021/09/08 23:08:20.283]","Seleciona produto na lista","Selecionou produto na lista Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:08:21.120]","Verifica pagina do produto","Verificou pagina do produtoCabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 23:08:21.166]","Verifica pre̤o","Confirmou se aparece o preco do Produto"
"[2021/09/08 23:08:21.354]","Clicar no botao Comprar","Clicou no botao comprar"
"[2021/09/08 23:08:27.253]","Verifica produto no carrinho","Verificou produto no carrinho"
"[2021/09/08 23:09:52.294]","Acessar o site","Acessou o site"
"[2021/09/08 23:09:52.452]","Concordar com Cookies","Concordou com os Cookies"
"[2021/09/08 23:09:58.205]","Pesquisar o Produto","Digitou no campo de busca o produto Escrivaninha 1 Gaveta Facility Demobile"
